nohup: ignoring input
INFO:root:Namespace(batch_size=256, dataset='ml-20m', factor_size_gmf=64, gpus='0', layers='[256, 128, 64]', log_interval=100, model_type='neumf', num_epoch=10, num_hidden=1, num_neg=4, num_valid=1000, path='./data/', seed=1, sparse=False)
[17:31:58] src/base.cc:51: Upgrade advisory: this mxnet has been built against cuda library version 9000, which is older than the oldest version tested by CI (10000).  Set MXNET_CUDA_LIB_CHECKING=0 to quiet this warning.
train_ncf.py:139: UserWarning: Optimizer created manually outside Module but rescale_grad is not normalized to 1.0/batch_size/num_workers (1.0 vs. 0.00390625). Is this intended?
  mod.init_optimizer(optimizer=optim, kvstore='device')
INFO:root:Training started ...
INFO:root:Epoch[0] Batch [18600-18700]	Speed: 51793.79 samples/sec	cross_entropy=51.026543
INFO:root:Epoch[0] Batch [18700-18800]	Speed: 51867.45 samples/sec	cross_entropy=50.611778
INFO:root:Epoch[0] Batch [18800-18900]	Speed: 51648.37 samples/sec	cross_entropy=52.134556
INFO:root:Epoch[0] Batch [18900-19000]	Speed: 51597.55 samples/sec	cross_entropy=51.666397
INFO:root:Epoch[0] Batch [19000-19100]	Speed: 52009.57 samples/sec	cross_entropy=52.240475
INFO:root:Epoch[0] Batch [19100-19200]	Speed: 51838.70 samples/sec	cross_entropy=50.592510
INFO:root:Epoch[0] Batch [19200-19300]	Speed: 51697.81 samples/sec	cross_entropy=50.236561
INFO:root:Epoch[0] Batch [19300-19400]	Speed: 51785.93 samples/sec	cross_entropy=50.693329
INFO:root:Epoch[0] Batch [19400-19500]	Speed: 51621.51 samples/sec	cross_entropy=50.272152
INFO:root:Epoch[0] Batch [19500-19600]	Speed: 51065.13 samples/sec	cross_entropy=49.743649
INFO:root:Epoch[0] Batch [19600-19700]	Speed: 51357.27 samples/sec	cross_entropy=50.739853
INFO:root:Epoch[0] Batch [19700-19800]	Speed: 51530.32 samples/sec	cross_entropy=50.571861
INFO:root:Epoch[0] Batch [19800-19900]	Speed: 50918.28 samples/sec	cross_entropy=50.224194
INFO:root:Epoch[0] Batch [19900-20000]	Speed: 50391.65 samples/sec	cross_entropy=51.167179
INFO:root:Epoch[0] Batch [20000-20100]	Speed: 51153.83 samples/sec	cross_entropy=51.135757
INFO:root:Epoch[0] Batch [20100-20200]	Speed: 51078.37 samples/sec	cross_entropy=48.983288
INFO:root:Epoch[0] Batch [20200-20300]	Speed: 51258.47 samples/sec	cross_entropy=49.861229
INFO:root:Epoch[0] Batch [20300-20400]	Speed: 50981.60 samples/sec	cross_entropy=49.558285
INFO:root:Epoch[0] Batch [20400-20500]	Speed: 51400.49 samples/sec	cross_entropy=49.082062
INFO:root:Epoch[0] Batch [20500-20600]	Speed: 50103.70 samples/sec	cross_entropy=49.504330
INFO:root:Epoch[0] Batch [20600-20700]	Speed: 50700.96 samples/sec	cross_entropy=50.874420
INFO:root:Epoch[0] Batch [20700-20800]	Speed: 51274.67 samples/sec	cross_entropy=50.932205
INFO:root:Epoch[0] Batch [20800-20900]	Speed: 49873.68 samples/sec	cross_entropy=50.086456
INFO:root:Epoch[0] Batch [20900-21000]	Speed: 52563.78 samples/sec	cross_entropy=49.959816
INFO:root:Epoch[0] Batch [21000-21100]	Speed: 50836.32 samples/sec	cross_entropy=50.164883
INFO:root:Epoch[0] Batch [21100-21200]	Speed: 52695.96 samples/sec	cross_entropy=48.729111
INFO:root:Epoch[0] Batch [21200-21300]	Speed: 49641.14 samples/sec	cross_entropy=49.282192
INFO:root:Epoch[0] Batch [21300-21400]	Speed: 50032.14 samples/sec	cross_entropy=49.864334
INFO:root:Epoch[0] Batch [21400-21500]	Speed: 52522.07 samples/sec	cross_entropy=49.379307
INFO:root:Epoch[0] Batch [21500-21600]	Speed: 51263.36 samples/sec	cross_entropy=52.117657
INFO:root:Epoch[0] Batch [21600-21700]	Speed: 50499.75 samples/sec	cross_entropy=50.617714
INFO:root:Epoch[0] Batch [21700-21800]	Speed: 53234.23 samples/sec	cross_entropy=48.790146
INFO:root:Epoch[0] Batch [21800-21900]	Speed: 50419.24 samples/sec	cross_entropy=50.782215
INFO:root:Epoch[0] Batch [21900-22000]	Speed: 52417.36 samples/sec	cross_entropy=49.798370
INFO:root:Epoch[0] Batch [22000-22100]	Speed: 52289.24 samples/sec	cross_entropy=50.416664
